Pair_ID,Source_table,Thermometer_calibration,Barometer_calibration,Reference,Run,LEPR_ID,T_C_exp,P_kbar_exp,H2O_Liq_wt_pct,CaTs_Cpx_source_marker,SiO2_Cpx_wt_pct,TiO2_Cpx_wt_pct,Al2O3_Cpx_wt_pct,FeO_Cpx_wt_pct,MnO_Cpx_wt_pct,MgO_Cpx_wt_pct,CaO_Cpx_wt_pct,Na2O_Cpx_wt_pct,K2O_Cpx_wt_pct,P2O5_Cpx_wt_pct,Total_Cpx_wt_pct,SiO2_Liq_wt_pct,TiO2_Liq_wt_pct,Al2O3_Liq_wt_pct,FeO_Liq_wt_pct,MnO_Liq_wt_pct,MgO_Liq_wt_pct,CaO_Liq_wt_pct,Na2O_Liq_wt_pct,K2O_Liq_wt_pct,P2O5_Liq_wt_pct,Total_Liq_wt_pct
Masotta2013_1EA_024,Table 1EA,1,1,Masotta et al. (2012),SVD-29,,1000,3,2,X,43.48,1.32,9.18,11.36,0.2,9.9,23.44,0.3,0.15,0,99.34,52.57,0.73,19.22,5.88,0.16,1.92,7.46,2.72,8.9,0.43,100
Masotta2013_1EA_025,Table 1EA,1,1,Masotta et al. (2012),SVD-19,,950,3,2.22,X,43.36,1.44,9.41,12.65,0.25,8.3,22.87,0.32,0.19,0,98.79,54.4,0.5,20.83,4.05,0.13,0.91,5.08,3.28,10.4,0.41,100
Masotta2013_1EA_026,Table 1EA,1,1,Masotta et al. (2012),SVD-21,,900,3,2.89,X,42.84,1.5,10.75,13.25,0.26,6.89,22.24,0.49,0.51,0,98.74,55.32,0.41,21.2,2.83,0.12,0.5,4.21,3.69,11.16,0.56,100
Masotta2013_1EA_027,Table 1EA,1,1,Fabbrizio and Carroll (2008),2A,,810,0.5,5.46,,49.61,0.76,2.8,11.64,1.09,10.52,22.41,0.75,0.1,0,99.72,60.34,0.21,19.73,2.17,0.27,0.12,1.41,9.24,6.49,0,100
Masotta2013_1EA_028,Table 1EA,1,1,Fabbrizio and Carroll (2008),Alfa,,840,0.5,5.38,,49.12,0.68,2.71,9.52,0.81,11.72,22.12,0.8,0.08,0,97.64,62.15,0.34,19.06,1.84,0.22,0.22,1.59,7.82,6.76,0,100
Masotta2013_1EA_029,Table 1EA,1,1,Fabbrizio and Carroll (2008),Beta,,870,0.5,4.04,,45.78,1.86,4.99,12.42,1.13,8.74,21.3,1,0.1,0,97.42,61.68,0.38,18.64,2.45,0.22,0.19,1.4,8.49,6.54,0,100
Masotta2013_1EA_030,Table 1EA,1,1,Fabbrizio and Carroll (2008),1R,,790,1,7.01,,46.48,0.9,3.26,16.73,1.98,5.85,20.72,1.04,0.18,0,97.61,64.3,0.2,20.54,2.44,0.34,0.1,1.2,5.28,5.59,0,100
Masotta2013_1EA_031,Table 1EA,1,1,Fabbrizio and Carroll (2008),1L,,750,1.5,1.32,,48.7,0.66,2.26,15.26,2.2,7.47,21.7,0.85,0.05,0,99.36,62.45,0.09,19.16,0.63,-,0.05,0.95,9.94,6.78,0,100
Masotta2013_1EA_032,Table 1EA,1,1,Fabbrizio and Carroll (2008),1O,,775,1.5,9.15,,45.2,1.71,4.74,19.99,1.86,3.54,21.02,0.88,0.11,0,99.12,63.75,0.16,20.01,1.96,0.18,0.07,1.15,6.89,5.82,0,100
Masotta2013_1EA_033,Table 1EA,1,1,Fabbrizio and Carroll (2008),1P,,800,1.5,5.45,,46.53,1.22,4.52,15.86,1.62,6.15,20.73,0.97,0.3,0,97.99,62.27,0.22,19.06,1.94,0.23,0.11,1.48,7.96,6.72,0,100
