model,target_type,phase,oxide,rel_error,n,median_abs_effect,mean_abs_effect,p90_abs_effect,p95_abs_effect,max_abs_effect,median_signed_effect,mean_signed_effect,qc_failed_n,clipped_to_zero_n,zero_value_no_effect_n
AgL24,T,cpx,TiO2_cpx,0.005,296.0,0.0,0.020034583839210304,0.076904296875,0.1214599609375,0.264404296875,0.0,0.0028746321394636826,0.0,0.0,0.0
AgL24,T,cpx,TiO2_cpx,0.01,296.0,0.0,0.03102256156302787,0.108642578125,0.1419677734375,0.27490234375,0.0,0.0040136801229940875,0.0,0.0,0.0
AgL24,T,liq,Al2O3_liq,0.01,296.0,0.22698974609375,0.26318359375,0.4896240234375,0.66094970703125,1.2244873046875,-0.0145263671875,0.005780194256756757,0.0,0.0,0.0
AgL24,T,liq,Al2O3_liq,0.02,296.0,0.41815185546875,0.45300128008868246,0.85467529296875,1.016265869140625,1.430908203125,-0.0321044921875,0.021326013513513514,0.0,0.0,0.0
AgL24,T,liq,Al2O3_liq,0.03,296.0,0.5787353515625,0.6436821190086571,1.2523193359375,1.4268798828125,2.15673828125,-0.0335693359375,0.020477707321579393,0.0,0.0,0.0
AgL24,T,liq,CaO_liq,0.01,296.0,0.2335205078125,0.28730691445840373,0.5882568359375,0.7293701171875,1.109619140625,0.002105712890625,0.0032620816617398647,0.0,0.0,0.0
AgL24,T,liq,CaO_liq,0.02,296.0,0.45001220703125,0.5374679565429688,1.1434326171875,1.3646240234375,2.13134765625,-0.016357421875,-0.006091762233424831,0.0,0.0,0.0
AgL24,T,liq,CaO_liq,0.03,296.0,0.6240234375,0.7515279409047719,1.6943359375,1.89996337890625,2.7095947265625,0.0042724609375,0.012013615788640204,0.0,0.0,0.0
AgL24,T,liq,FeO_liq,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AgL24,T,liq,FeO_liq,0.02,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AgL24,T,liq,FeO_liq,0.03,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AgL24,T,liq,K2O_liq,0.01,296.0,0.33416748046875,0.36779661436338684,0.6781005859375,0.790374755859375,1.190673828125,-0.00665283203125,0.004181320602829392,0.0,0.0,0.0
AgL24,T,liq,K2O_liq,0.02,296.0,0.70819091796875,0.7330901687209671,1.2286376953125,1.43634033203125,2.0726318359375,-0.029937744140625,0.005984125910578547,0.0,0.0,0.0
AgL24,T,liq,K2O_liq,0.03,296.0,1.11724853515625,1.0780746872360643,1.78729248046875,1.94403076171875,2.70703125,-0.081390380859375,-0.01276707004856419,0.0,0.0,0.0
AgL24,T,liq,MgO_liq,0.01,296.0,0.31964111328125,0.4082144659918708,0.8543701171875,1.039947509765625,2.0697021484375,0.02593994140625,-0.0035051912874788853,0.0,0.0,0.0
AgL24,T,liq,MgO_liq,0.02,296.0,0.66046142578125,0.7890777587890625,1.5732421875,2.0406646728515625,3.8648681640625,0.011474609375,-0.011270059121621621,0.0,0.0,0.0
AgL24,T,liq,MgO_liq,0.03,296.0,0.98370361328125,1.163396474477407,2.18792724609375,2.896209716796875,5.527587890625,0.04705810546875,-0.02191533269108953,0.0,0.0,0.0
AgL24,T,liq,MnO_liq,0.01,296.0,0.0291748046875,0.06603859566353462,0.19378662109375,0.231903076171875,0.4375,0.0,0.0029014381202491554,0.0,0.0,0.0
AgL24,T,liq,MnO_liq,0.02,296.0,0.0931396484375,0.13167551401499156,0.3211669921875,0.425323486328125,0.6375732421875,0.0,-0.0052411878431165545,0.0,0.0,0.0
AgL24,T,liq,MnO_liq,0.03,296.0,0.125,0.17771272401551944,0.4149169921875,0.547027587890625,0.917724609375,0.0,-0.021747279811549832,0.0,0.0,0.0
AgL24,T,liq,Na2O_liq,0.01,296.0,0.0972900390625,0.12438490584089949,0.2596435546875,0.34326171875,0.6688232421875,0.0,0.00016186688397381758,0.0,0.0,0.0
