rank,model,target_type,phase,oxide,median_abs_effect,p95_abs_effect,max_abs_effect,valid_n,qc_failed_n
16,Pu08_31,P,cpx,K2O_cpx,4.1520088345237127e-07,5.5435547901261375e-05,0.0001868923426009,44.0,0.0
17,Pu08_31,P,cpx,FeO_cpx,0.0,0.0,0.0,44.0,1.0
18,Pu08_31,P,cpx,Cr2O3_cpx,0.0,2.7533932973611285e-07,3.627827030783237e-06,44.0,0.0
19,Pu08_31,P,cpx,NiO_cpx,0.0,0.0,0.0,44.0,0.0
20,Pu08_31,P,liq,FeO_liq,0.0,0.0,0.0,44.0,0.0
1,Pu08_33,T,cpx,CaO_cpx,7.311008724167095,26.45287123862605,50.53978559639381,42.0,4.0
2,Pu08_33,T,liq,CaO_liq,4.786050456905286,5.286892171825753,5.326310119938626,44.0,0.0
3,Pu08_33,T,liq,Al2O3_liq,4.388757066989228,4.944275893965482,5.011223437219996,44.0,0.0
4,Pu08_33,T,cpx,SiO2_cpx,3.5621268715510723,12.012323838364273,29.324495627478427,42.0,8.0
5,Pu08_33,T,cpx,MgO_cpx,3.230129758304429,8.901822454280818,23.750894425017123,43.0,2.0
6,Pu08_33,T,liq,Na2O_liq,1.1412550006721176,1.3053016798938188,1.3199543365180944,44.0,0.0
7,Pu08_33,T,liq,SiO2_liq,0.9450045629309898,1.396102385431027,1.6069589542744325,44.0,0.0
8,Pu08_33,T,cpx,Al2O3_cpx,0.6923616529513765,3.0628876061729677,13.286744148279922,44.0,0.0
9,Pu08_33,T,liq,TiO2_liq,0.6709384809662424,0.7723315459200422,0.8000621657142801,44.0,0.0
10,Pu08_33,T,liq,K2O_liq,0.48842340048963706,0.6470420983550866,0.7659784886618581,44.0,0.0
11,Pu08_33,T,cpx,Na2O_cpx,0.4712840403003611,0.7666747293011895,2.0562927250957728,44.0,0.0
12,Pu08_33,T,liq,MgO_liq,0.45162531740720624,0.6381214301972022,0.7710713166784444,44.0,0.0
13,Pu08_33,T,cpx,TiO2_cpx,0.08900552624686495,0.3561406571614043,1.7177373745284967,44.0,0.0
14,Pu08_33,T,cpx,MnO_cpx,0.0347587006388039,0.10064034551548953,0.2582219091846127,44.0,0.0
15,Pu08_33,T,liq,MnO_liq,0.0176188028792694,0.02079028919335988,0.0214118068797688,44.0,0.0
16,Pu08_33,T,cpx,K2O_cpx,0.00011038403727067158,0.003426937117251315,0.0057729038567231,44.0,0.0
17,Pu08_33,T,cpx,FeO_cpx,0.0,0.0,0.0,44.0,1.0
18,Pu08_33,T,cpx,Cr2O3_cpx,0.0,3.724287444129004e-05,0.0009387296272507,44.0,0.0
19,Pu08_33,T,cpx,NiO_cpx,0.0,0.0,0.0,44.0,0.0
20,Pu08_33,T,liq,FeO_liq,0.0,0.0,0.0,44.0,0.0
